Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,num_theaters,runtime_mins,releaseYear,CULT_INDEX,CPI,prod_budget_ADJ,rev_totalGross_ADJ
3309,102 Dalmatians,Buena Vista,Family Comedy,Glenn Close,3.685442,Kevin Lima,1.565482,0,2704,104,2000,6.26E-11,172.2,117479674.8,175476511.5
3318,Autumn in New York,MGM,Romance,Richard Gere,5.650504,Joan Chen,3.190981,0,2255,104,2000,1.39E-10,172.2,89837398.37,98963910.27
3231,Jesus Son,Lions Gate,Drama,Billy Crudup,5.55511,Alison Maclean,1.000003,0,1,105,2000,0.0009465489634,172.2,34552845.53,3412370.42
3389,Lucky Numbers,Paramount,Crime Comedy,John Travolta,12.204038,Nora Ephron,2.310533,1,2497,105,2000,1.95E-10,172.2,87073170.73,26318756.67
3378,The In Crowd,Warner Bros.,Thriller,Susan Ward,3.941078,Mary Lambert,1.834047,1,1357,105,2000,1.72E-09,172.2,33170731.71,13837563.85
3418,Ready to Rumble,Warner Bros.,Sports Comedy,David Arquette,2.748895,Brian Robbins,1.528349,1,2585,106,2000,1.73E-10,172.2,33170731.71,32482226.21
3400,The Next Best Thing,Paramount,Drama,Rupert Everett,5.163817,John Schlesinger,1.751479,1,2007,108,2000,2.17E-10,172.2,34552845.53,39286318.29
3411,Pitch Black,USA Films,Sci-Fi Horror,Vin Diesel,14.502515,David Twohy,2.686411,1,1832,109,2000,1.60E-10,172.2,31788617.89,102839304
3402,Nurse Betty,USA Films,Comedy,Morgan Freeman,12.277219,Neil LaBute,2.736217,1,1459,110,2000,3.38E-10,172.2,48373983.74,65964000.12
3176,The Boondock Saints,Indican,Action / Crime,Willem Dafoe,10.940178,Troy Duffy,1.040719,1,5,110,2000,1.53E-05,172.2,8292682.927,79856.36612
3472,You Can Count on Me,Paramount Classics,Drama,Laura Linney,4.728341,Kenneth Lonergan,2.812408,0,8,111,2000,8.22E-05,172.2,2992865.885,24067143.12
3351,Duets,Buena Vista,Comedy,Maria Bello,5.171118,Bruce Paltrow,1.001769,0,581,112,2000,2.03E-09,172.2,29024390.24,12419715.66
3323,Beautiful,Destination,Comedy / Drama,Minnie Driver,4.793111,Sally Field,6.01136,0,646,112,2000,2.46E-09,172.2,19349593.5,8274567.223
3421,Remember the Titans,Buena Vista,Sports Drama,Denzel Washington,7.858595,Boaz Yakin,2.135391,0,1865,113,2000,1.42E-10,172.2,41463414.63,303100263.8
3374,Hollow Man,Sony / Columbia,Sci-Fi Horror,Elisabeth Shue,5.714066,Paul Verhoeven,3.566023,0,2956,113,2000,3.55E-11,172.2,131300813,191862159.4
3397,Mission to Mars,Buena Vista,Sci-Fi Adventure,Gary Sinise,4.100318,Brian De Palma,3.595278,0,3054,113,2000,3.82E-11,172.2,138211382.1,159559175.6
3212,Ghost Dog: The Way of the Samurai,Artisan,Crime Drama,Forest Whitaker,8.525647,Jim Jarmusch,3.514411,0,14,116,2000,8.54E-06,172.2,1078089.421,8669461.946
3432,Scream 3,Dimension Films,Horror,David Arquette,2.748895,Wes Craven,3.071355,0,3467,117,2000,2.13E-11,172.2,55284552.85,233620492.3
78,Gone in 60 Seconds,Buena Vista,Action,H. B. Halicki,1.000408,H. B. Halicki,1.000037,0,3006,117,2000,5.27E-11,172.2,124390243.9,266393800.7
3322,Battlefield Earth,Warner Bros.,Sci-Fi Adventure,John Travolta,10.008903,Roger Christian,1.71056,0,3307,117,2000,4.87E-11,172.2,100894308.9,56271561.11
3319,Bait,Warner Bros.,Action Comedy,Jamie Foxx,6.121694,Antoine Fuqua,2.27986,0,2352,119,2000,2.17E-10,172.2,70487804.88,40163071.53
3330,Boiler Room,New Line,Drama,Giovanni Ribisi,2.448323,Ben Younger,1.000011,0,1740,120,2000,2.96E-10,172.2,9674796.748,44475367.72
3314,Almost Famous,DreamWorks,Music Drama,Billy Crudup,6.314405,Cameron Crowe,1.909663,0,131,122,2000,1.07E-17,172.2,82926829.27,85265166.66
3464,What Women Want,Paramount,Fantasy Comedy,Mel Gibson,7.18152,Nancy Meyers,2.03245,1,3012,127,2000,5.37E-11,172.2,96747967.48,479100738.6
26,Shaft,Paramount,Action,Richard Roundtree,1.563581,Gordon Parks,1.000024,1,2337,127,2000,6.38E-11,172.2,63577235.77,184327336.1
3325,Before Night Falls,Fine Line,Drama,Javier Bardem,8.385511,Julian Schnabel,1.001023,1,8,133,2000,7.30E-05,172.2,1382762.249,11119488.59
3449,Thirteen Days,New Line,Action Drama,Kevin Costner,8.312645,Roger Donaldson,2.028147,1,8,147,2000,8.77E-17,172.2,110569105.7,90656641.53
3364,Gladiator,DreamWorks,Historical Epic,Russell Crowe,7.017846,Ridley Scott,6.305603,1,2938,155,2000,5.27E-11,172.2,142357723.6,491925873.8
1000,The Patriot,Sony / Columbia,War,Gregg Henry,1.938692,Frank Harris,1.036,0,3061,164,2000,7.37E-11,172.2,152032520.3,297008607.6
3408,The Patriot,Sony / Columbia,War,Mel Gibson,7.18152,Roland Emmerich,1.688873,0,3061,164,2000,7.37E-11,172.2,152032520.3,297008607.6
3451,The Tigger Movie,Buena Vista,Animation,Jim Cummings,1.750363,Jun Falkenstein,1.000101,1,2723,77,2000,1.88E-10,172.2,41463414.63,119386284.2
3352,The Emperor s New Groove,Buena Vista,Animation,David Spade,5.088763,Mark Dindal,1.006395,1,2801,78,2000,3.31E-10,172.2,138211382.1,234038530.7
3428,Rugrats in Paris: The Movie,Paramount,Animation,Elizabeth Daily,1.12,"Stig Berggvist, Paul Demeyer",1.000035,1,2934,78,2000,5.05E-11,172.2,41463414.63,200506428.2
3433,Screwed,Universal,Comedy,Norm Macdonald,2.821269,Scott Alexander and Larry Karaszewski,1.334402,1,1759,82,2000,3.58E-10,172.2,13821138.21,18416797.45
3370,Held Up,Trimark,Comedy,Jamie Foxx,6.121694,Steve Rash,1.017885,1,688,88,2000,1.87E-09,172.2,1533566.549,12332204.13
3219,Held Up,Trimark,Comedy,Jamie Foxx,6.121694,Steve Rash,1.017885,1,688,88,2000,1.87E-09,172.2,1533566.549,12332204.13
3441,Snow Day,Paramount,Family Comedy,Chevy Chase,3.630674,Chris Koch,1.000312,1,2664,89,2000,1.10E-10,172.2,17967479.67,157296696.5
3170,The Big Kahuna,Lions Gate,Drama,Kevin Spacey,5.297862,John Swanbeck,1.000055,1,8,90,2000,6.04E-05,172.2,9674796.748,8296046.754
3470,Woman on Top,Fox Searchlight,Romantic Comedy,Penélope Cruz,12.102942,Fina Torres,1.000001,1,1085,92,2000,1.15E-09,172.2,11056910.57,13156372.35
3435,Shadow of the Vampire,Lions Gate,Horror Comedy,John Malkovich,7.104994,E. Elias Merhige,1.000154,1,6,93,2000,6.13E-05,172.2,2702951.554,21735796.39
1017,Saving Grace,Fine Line,Crime Comedy,Tom Conti,3.334956,Robert M. Young,1.036,1,30,93,2000,2.30E-14,172.2,13821138.21,31916868.5
3453,Titan A.E.,Fox,Animation,Matt Damon,9.690772,"Don Bluth, Gary Goldman",1.418164,1,2734,94,2000,9.47E-11,172.2,103658536.6,59630662.51
3334,The Broken Hearts Club: A Romantic Comedy,Sony Classics,Romantic Comedy,Ben Weber,1.004588,Greg Berlanti,7.135051,1,7,95,2000,2.07E-05,172.2,569213.4808,4577333.57
3469,The Whole Nine Yards,Warner Bros.,Crime Comedy,Bruce Willis,8.831725,Jonathan Lynn,1.296787,1,2910,98,2000,1.04E-10,172.2,570813008.1,150069722.9
3837,Charlie s Angels: Full Throttle,Sony / Columbia,Action Comedy,Cameron Diaz,4.817863,McG,2.324,1,3037,98,2000,2.56E-11,172.2,128536585.4,328392421.6
3340,Charlie s Angels,Sony / Columbia,Action Comedy,Drew Barrymore,5.985069,McG,2.324,1,3037,98,2000,2.56E-11,172.2,128536585.4,328392421.6
3401,Next Friday,New Line,Comedy,Ice Cube,10.092898,Steve Carr,2.26921,1,1103,98,2000,2.48E-10,172.2,15203252.03,150242982.2
3348,Dracula 2000,Miramax,Horror,Gerard Butler,13.443605,Patrick Lussier,2.61223,1,2204,99,2000,2.01E-10,172.2,74634146.34,86543867.02
3343,Coyote Ugly,Buena Vista,Music Drama,Piper Perabo,2.105842,David McNally,1.526,1,2653,101,2000,7.64E-11,172.2,62195121.95,159304602.8
3332,Boys and Girls,Dimension Films,Romantic Comedy,Claire Forlani,4.552152,Robert Iscove,1.163306,1,1983,102,2000,2.24E-10,172.2,48373983.74,57131075.17
3423,Requiem for a Dream,Artisan,Drama,Ellen Burstyn,4.039423,Darren Aronofsky,4.87431,1,2,102,2000,0.0004332955302,172.2,1184806.806,9527628.946
