Id,title,distributor,Genre,leadActor,Actor popularity,director,Director popularity,Sentiment,rev_totalGross,rev_opening,num_theaters,runtime,rev_postOpening,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,CPI,prod_budget_ADJ,CULT_INDEX
3468,Whipped,Destination,Comedy,Amanda Peet,7.599365,Peter Cohen,1.12,-1,6734467.902,2181379,1581,1 hrs. 22 min.,7370849.581,82,2000,3531364.494,10902214.08,172.2,4146341.463,5.53E-10
3377,I Dreamed of Africa,Sony / Columbia,Adventure,Kim Basinger,4.353011,Hugh Hudson,1.012589,-1,10767935.62,2411445,2112,1 hrs. 55 min.,13528054.62,115,2000,3903810.962,17431865.58,172.2,69105691.06,5.42E-10
3339,Center Stage,Sony / Columbia,Music Drama,Amanda Schull,3.119031,Nicholas Hytner,1.013045,1,27846025.75,4604621,1506,1 hrs. 55 min.,37624764.68,115,2000,7454273.242,45079037.92,172.2,40081300.81,5.39E-10
3344,The Crew,Buena Vista,Crime Comedy,Richard Dreyfuss,2.677116,Michael Dinner,1.063944,-1,21082638.4,4051921,1510,1 hrs. 28 min.,27570482.12,88,2000,6559524.94,34130007.06,172.2,52520325.2,5.25E-10
3315,American Psycho,Lions Gate,Thriller,Christian Bale,11.706108,Mary Harron,1.068878,0,24396801,4961015,1236,1 hrs. 44 min.,31463970.54,104,2000,8031228.057,39495198.6,172.2,9674796.748,4.95E-10
3471,Wonder Boys,Paramount,Comedy / Drama,Michael Douglas,7.513336,Curtis Hanson,1.745608,1,31395607.37,5808919,1253,1 hrs. 51 min.,41421469.1,111,2000,9403872.645,50825341.74,172.2,76016260.16,4.59E-10
3342,The Contender,DreamWorks,Drama / Thriller,Joan Allen,5.393153,Rod Lurie,1.002988,-1,28933577.99,5363900,1516,2 hrs. 7 min.,38156195.69,127,2000,8683445.66,46839641.35,172.2,27642276.42,4.10E-10
3396,Miss Congeniality,Warner Bros.,Action Comedy,Sandra Bullock,8.791962,Donald Petrie,1.194806,1,172907506.2,10046534,2668,1 hrs. 49 min.,263650404.1,109,2000,16264011.65,279914415.7,172.2,62195121.95,3.97E-10
3405,The Original Kings of Comedy,Paramount,Concert,stand-up comedy of Steve Harvey,1.515749,Spike Lee,3.296902,1,61812894,11053832,847,1 hrs. 55 min.,82172217.35,115,2000,17894694.07,100066911.4,172.2,17967479.67,3.69E-10
3433,Screwed,Universal,Comedy,Norm Macdonald,2.821269,Scott Alexander and Larry Karaszewski,1.334402,1,11376343.42,3342085,1759,1 hrs. 22 min.,13006403.25,82,2000,5410394.208,18416797.45,172.2,13821138.21,3.58E-10
3402,Nurse Betty,USA Films,Comedy,Morgan Freeman,12.277219,Neil LaBute,2.736217,0,40746993.08,7145950,1459,1 hrs. 50 min.,54395650.87,110,2000,11568349.25,65964000.12,172.2,48373983.74,3.38E-10
3352,The Emperor s New Groove,Buena Vista,Animation,David Spade,5.088763,Mark Dindal,1.006395,1,144569255.6,9812302,2801,1 hrs. 18 min.,218153709.7,78,2000,15884820.97,234038530.7,172.2,138211382.1,3.31E-10
3463,What Planet Are You From?,Sony / Columbia,Sci-Fi Comedy,Garry Shandling,2.213582,Mike Nichols,2.631051,1,10185272.67,3008746,2248,1 hrs. 47 min.,11617848.84,107,2000,4870762.392,16488611.23,172.2,82926829.27,3.09E-10
3371,Here on Earth,Fox,Romance,Chris Klein,1.462532,Mark Piznarski,1.000006,-1,17034000.27,4510705,1712,1 hrs. 36 min.,20273561.02,96,2000,7302235.642,27575796.67,172.2,20731707.32,3.02E-10
3330,Boiler Room,New Line,Drama,Giovanni Ribisi,2.448323,Ben Younger,1.000011,0,27473129.24,5742129,1740,2 hrs. 0 min.,35179619.26,120,2000,9295748.457,44475367.72,172.2,9674796.748,2.96E-10
3345,Digimon: The Movie,Fox,Animation,Lara Jill Miller,1.52,"Mamoru Hosoda, Minoru Hosoda",1.83306,0,15591564.67,4233304,1823,1 hrs. 22 min.,18387523.87,82,2000,6853160.06,25240683.93,172.2,6910569.106,2.95E-10
3356,The Family Man,Universal,Fantasy Comedy,Nicolas Cage,8.431094,Brett Ratner,2.838137,1,122699350.4,10554960,2388,2 hrs. 6 min.,181546956.5,126,2000,17087086.19,198634042.7,172.2,82926829.27,2.85E-10
3424,Return to Me,MGM,Romantic Comedy,Minnie Driver,4.793111,Bonnie Hunt,5.558758,1,52973888.08,7820836,2007,1 hrs. 56 min.,73096827.71,116,2000,12660900.54,85757728.26,172.2,33170731.71,2.67E-10
3203,Eye of the Beholder,Destination,Thriller,Ewan McGregor,6.312465,Stephan Elliott,1.000034,1,26712593.18,5959447,1751,1 hrs. 49 min.,33596602.69,109,2000,9647557.596,43244160.29,172.2,48373983.74,2.65E-10
3380,Keeping the Faith,Buena Vista,Romantic Comedy,Ben Stiller,9.417452,Edward Norton,9.69627,-1,59975624.6,8078671,2152,2 hrs. 9 min.,84014313.57,129,2000,13078301.35,97092614.92,172.2,40081300.81,2.64E-10
3401,Next Friday,New Line,Comedy,Ice Cube,10.092898,Steve Carr,2.26921,1,92807436.55,14465156,1103,1 hrs. 38 min.,126825805.1,98,2000,23417177.07,150242982.2,172.2,15203252.03,2.48E-10
3349,Drowning Mona,Destination,Comedy,Bette Midler,3.120187,Nick Gomez,1.582503,0,25103402.85,5802229,1981,1 hrs. 35 min.,31246051.26,95,2000,9393042.419,40639093.68,172.2,51138211.38,2.33E-10
3381,The Ladies Man,Paramount,Comedy,Tim Meadows,1.93928,Reginald Hudlin,1.618813,-1,22043493.17,5426390,2022,1 hrs. 24 min.,26900895.32,84,2000,8784608.717,35685504.04,172.2,33170731.71,2.29E-10
3465,Whatever It Takes,Sony / Columbia,Romantic Comedy,Shane West,5.635719,David Raynr,1.004854,-1,14158100.83,4104298,2272,1 hrs. 34 min.,16275778.92,94,2000,6644316.385,22920095.31,172.2,44227642.28,2.29E-10
3332,Boys and Girls,Dimension Films,Romantic Comedy,Claire Forlani,4.552152,Robert Iscove,1.163306,1,35290757.39,7008950,1983,1 hrs. 42 min.,45784510.83,102,2000,11346564.34,57131075.17,172.2,48373983.74,2.24E-10
3400,The Next Best Thing,Paramount,Drama,Rupert Everett,5.163817,John Schlesinger,1.751479,0,24267772.37,5870387,2007,1 hrs. 48 min.,29782937.07,108,2000,9503381.219,39286318.29,172.2,34552845.53,2.17E-10
3319,Bait,Warner Bros.,Action Comedy,Jamie Foxx,6.121694,Antoine Fuqua,2.27986,0,24809356.54,5485591,2352,1 hrs. 59 min.,31282624.21,119,2000,8880447.317,40163071.53,172.2,70487804.88,2.17E-10
3387,Loser,Sony / Columbia,Romantic Comedy,Jason Biggs,2.651447,Amy Heckerling,1.002412,0,25284492.66,6008611,2016,1 hrs. 35 min.,31205106.53,95,2000,9727147.619,40932254.15,172.2,27642276.42,2.15E-10
3360,Frequency,New Line,Sci-Fi Thriller,Dennis Quaid,4.430167,Gregory Hoblit,1.51236,-1,72865695.33,9025584,2621,1 hrs. 59 min.,103348708.5,119,2000,14611228.44,117959937,172.2,42845528.46,2.11E-10
3385,The Little Vampire,New Line,Family Adventure,Jonathan Lipnicki,2.21493,Uli Edel,1.641227,-1,21971923.02,5719627,2009,1 hrs. 45 min.,26310320.72,105,2000,9259320.691,35569641.42,172.2,48373983.74,2.07E-10
3358,Final Destination,New Line,Horror,Devon Sawa,2.372847,James Wong,1.12,0,86336083.26,10015822,2587,1 hrs. 38 min.,123552422.9,98,2000,16214292.97,139766715.9,172.2,31788617.89,2.05E-10
5018,The Final Destination,New Line,Horror,Bobby Campo,1.009036,David R. Ellis,1.601444,0,86336083.26,10015822,2587,1 hrs. 38 min.,123552422.9,98,2000,16214292.97,139766715.9,172.2,31788617.89,2.05E-10
3466,Where the Heart Is,Fox,Comedy / Drama,Natalie Portman,11.246365,Matt Williams,1.032248,-1,54673764.16,8292939,2437,2 hrs. 0 min.,75084430.16,120,2000,13425172.95,88509603.11,172.2,20731707.32,2.02E-10
1692,Where the Heart Is,Fox,Comedy / Drama,Dabney Coleman,2.342099,John Boorman,2.022562,-1,54673764.16,8292939,2437,2 hrs. 0 min.,75084430.16,120,2000,13425172.95,88509603.11,172.2,20731707.32,2.02E-10
3348,Dracula 2000,Miramax,Horror,Gerard Butler,13.443605,Patrick Lussier,2.61223,1,53459498.28,8636567,2204,1 hrs. 39 min.,72562405.73,99,2000,13981461.29,86543867.02,172.2,74634146.34,2.01E-10
3389,Lucky Numbers,Paramount,Crime Comedy,John Travolta,12.204038,Nora Ephron,2.310533,0,16257507.03,4536625,2497,1 hrs. 45 min.,18974559.97,105,2000,7344196.698,26318756.67,172.2,87073170.73,1.95E-10
3451,The Tigger Movie,Buena Vista,Animation,Jim Cummings,1.750363,Jun Falkenstein,1.000101,1,73746772.29,9427532,2723,1 hrs. 17 min.,104124355,77,2000,15261929.16,119386284.2,172.2,41463414.63,1.88E-10
3447,Supernova,MGM,Sci-Fi Thriller,James Spader,2.40146,Walter Hill,2.373929,0,23037227.15,5778639,2280,1 hrs. 31 min.,27939374.78,91,2000,9354853.325,37294228.1,172.2,124390243.9,1.87E-10
3347,Down to You,Miramax,Romantic Comedy,Freddie Prinze,2.818751,Kris Isacsson,1.008891,-1,32489073.33,7602507,1971,1 hrs. 29 min.,40288063.98,89,2000,12307454.73,52595518.71,172.2,48373983.74,1.76E-10
3418,Ready to Rumble,Warner Bros.,Sports Comedy,David Arquette,2.748895,Brian Robbins,1.528349,0,20064778.43,5257778,2585,1 hrs. 46 min.,23970578.05,106,2000,8511648.158,32482226.21,172.2,33170731.71,1.73E-10
3409,Pay It Forward,Warner Bros.,Drama,Haley Joel Osment,8.166719,Mimi Leder,1.390975,-1,54263850.61,9631359,2130,2 hrs. 3 min.,72254109.06,123,2000,15591898.15,87846007.22,172.2,55284552.85,1.70E-10
3420,Reindeer Games,Miramax,Action,Ben Affleck,10.177778,John Frankenheimer,2.265794,-1,37831316.43,8128356,2204,1 hrs. 44 min.,48085169.91,104,2000,13158734.81,61243904.72,172.2,58048780.49,1.60E-10
3411,Pitch Black,USA Films,Sci-Fi Horror,Vin Diesel,14.502515,David Twohy,2.686411,0,63525444.19,11577688,1832,1 hrs. 49 min.,84096556.25,109,2000,18742747.74,102839304,172.2,31788617.89,1.60E-10
3331,Bounce,Miramax,Romance,Ben Affleck,10.177778,Don Roos,1.000237,-1,59582900.2,11423716,1918,1 hrs. 46 min.,77963358.57,106,2000,18493487.41,96456845.98,172.2,48373983.74,1.47E-10
3361,Get Carter,Warner Bros.,Action,Sylvester Stallone,7.20146,Stephen T. Kay,1.290118,-1,24229890.86,6637830,2315,1 hrs. 42 min.,28479223.05,102,2000,10745770.08,39224993.13,172.2,879024390.2,1.47E-10
3421,Remember the Titans,Buena Vista,Sports Drama,Denzel Washington,7.858595,Boaz Yakin,2.135391,0,187229766.7,20905831,1865,1 hrs. 53 min.,269256484.6,113,2000,33843779.24,303100263.8,172.2,41463414.63,1.42E-10
